language,id,author_id,created_at,date,text,place_info__full_name,continent,latitude,longitude,place_info__place_type,attachments__media_keys__-,attachments__media_keys__001,attachments__media_keys__002,attachments__media_keys__003,attachments__media_keys__004,media_url
Portuguese,1374152196724494338,145007298,2021-03-23T00:13:08.000Z,"March 23, 2021","amigos para acampar que tenham experiência em montagem de barraca, defesa contra animais selvagens e saibam fazer fogueira 🔥⛺️ vagas abertas","Americana, Brasil",South America,-22.724059,-47.2901425,city,,,,,,
Portuguese,1374143999930466312,3729744917,2021-03-22T23:40:34.000Z,"March 22, 2021","@ROBSONGlria1 @ejmorais59 @LulaOficial As jaulas não são só para os animais selvagens, mas também para vagabundos ladrões que roubaram o país e que deveriam estar presos.","Olinda, Brasil",South America,-8.0015425,-34.8726385,city,,,,,,
Spanish,1375803300239540224,259311313,2021-03-27T13:34:02.000Z,"March 27, 2021",#AEstaHora | Invitamos a los conductores 🚘 y pasajeros 🚌 de @TerminalesMed para que #ParemosYa y denunciemos el tráfico de fauna silvestre en #SemanaSanta y siempre. ¡Los 🐒🦜🐢 no son mascotas! #PonleElCorazón https://t.co/00MrLujrby,"Medellín, Colombia",South America,6.270882998,-75.619213,city,,3_1375803295357411328,3_1375803295361605634,,,https://pbs.twimg.com/media/ExfVzsyXIAAX9oy.jpg
Spanish,1375722742780198912,137936101,2021-03-27T08:13:56.000Z,"March 27, 2021",@rossihenriquez @lagardunasiglo1 Hola. Necesitas un especialista en fauna silvestre. No conozco a alguno que pueda ayudarte por esta vía. \n\n¿Alguien conoce a alguno?,"Maracaibo, Venezuela",South America,10.664022,-71.6408997,city,,,,,,
Spanish,1375656433035968512,259311313,2021-03-27T03:50:26.000Z,"March 27, 2021",Gracias a nuestros amigos de @cornare  por ponerle el 💚 al cuidado y la prevención del tráfico de fauna silvestre 🦜🐢🌎🦊. En equipo por el desarrollo sostenible. https://t.co/BAYkaWinKy,"Medellín, Colombia",South America,6.270882998,-75.619213,city,,,,,,
Spanish,1375656056228081664,259311313,2021-03-27T03:48:56.000Z,"March 27, 2021",En equipo 🤝 por la protección de la fauna silvestre en esta #SemanaSanta y siempre. Así le ponemos el 💚. https://t.co/DIHYK9l7OP,"Medellín, Colombia",South America,6.270882998,-75.619213,city,,,,,,
Spanish,1375575784824389646,135271340,2021-03-26T22:29:58.000Z,"March 26, 2021",@elmochilontv Total. Conservar y proteger la fauna silvestre es tarea de todos.,"San Marcos, Colombia",South America,8.580091997,-75.17535,city,,,,,,
Spanish,1375533181319909378,889545765810577410,2021-03-26T19:40:41.000Z,"March 26, 2021","En el Grupo Aeroportuario de Chiapas contamos con un Plan de Manejo de Control de la Fauna.\nTodo esto a través de un equipo técnico, conformado por biólogos y médicos veterinarios, altamente capacitados en el manejo de fauna silvestre, así como certificaciones internacionales. https://t.co/MZLHsFXkf2",Aeropuerto Internacional de Tuxtla Gutierrez Ángel Albino Corzo (TGZ),North America,16.56090326,-93.01959725,poi,,3_1375533168615362564,3_1375533173589876742,3_1375533179013070852,,https://pbs.twimg.com/media/ExbgIQQWEAQf4cq.jpg
Spanish,1375452613525782535,259311313,2021-03-26T14:20:32.000Z,"March 26, 2021","Hay historias que no quisiéramos contar 😔, porque son el resultado del tráfico, el maltrato, el atropellamiento, el secuestro y la cacería de fauna silvestre, pero lo hacemos #ConElCorazón porque es importante que #ParemosYa y los dejemos en libertad. https://t.co/c14M4PDjWl","Guarne, Colombia",South America,6.271686499,-75.4456295,city,,,,,,
Spanish,1375410322727706627,259311313,2021-03-26T11:32:29.000Z,"March 26, 2021","En minutos #AntioquiaMásViva por @Teleantioquia, conéctate a las 7:00  🕖 a.m. y conversemos acerca de la importancia de proteger la fauna silvestre 🦜🐢💚🌎 durante esta #SemanaSanta y siempre. https://t.co/Pb8VVZBsHO","Medellín, Colombia",South America,6.270882998,-75.619213,city,,3_1375410317186977792,,,,https://pbs.twimg.com/media/ExZwZXBWUAAi0lV.jpg
